F3_Haupteinkaufsstaette;F7_2_ERWARTUNGEN_1;F7_1.1_ZUFR_BEGR_offen
Rewe;4;zuverlässig
Lidl;4;hochwertig
Lidl;5;Kurzer Weg dahin. Großer Parkplatz. Gute Produktplatzierung. Sonderangebote gut ersichtlich. Keine lange Wartezeit an der Kasse.
Famila;4;Angehnes einkauferlebnis
Edeka;5;Sehr gepflegter Laden
Andere;4;Freundliche Verkäufer. Große Auswahl an Frischwaren wie Wurst und Käse
Rewe;5;Übersicht, Freundlichkeit, Gutes Einkaufserlebnis
Netto (Rot);5;Manchmal fehlen Produkte
Rewe;5;Sehr freundliches Personal. Immer neue Artikel verfügbar.
Netto (Rot);2;Übersichtlich, sauber,freundlich, regionale Produkte
Edeka;4;gutes Sortiment
Edeka;5;alles bestens
Lidl;4;ist preiswert und sauber
Lidl;5;Nette Mitarbeiter, gute park Möglichkeiten, gute preise
Kaufland;3;die ware ist zeitweise nicht im angebot, die ich nbenötige
Penny;4;Angebot und Preis/Leistungsverhältnis stimmen, nach Umbau ist der Markt weniger übersichtlich
Aldi Nord;4;....
Kaufland;4;große auswahl
Lidl;4;Freundliches Personal
Norma;4;Voll und ganz
Edeka;3;preis leistung super - personal unmöglich
Rewe;4;Freundlicher Chef, freundliche Mitarbeiter
Kaufland;5;Alles drin, und die Preise sind vergleichsweise gut
Rewe;4;immer sauber, kassen nicht überfüllt
Penny;5;sauber, freundliches Personal, gute Waren
Rewe;5;Immer sauber Freundliche Mitarbeiter,bekomme was ich suche
Lidl;3;Lebensmittel etc ist alles zu meiner Zufriedenheit, aber das Personal ist in dieser Filiale nicht sehr freundlich bzw. hilfsbereit
Edeka;4;Sauber, ordentlich, nettes personal
Globus;5;Alles frisch, sehr großes Angebot,  immer wieder tolle Aktionen,  Sonderangebote,  verkostungen, Kundenkarte
Rewe;3;unsauber
Globus;5;ein geschaeft, alles zu haben und von guter qualitaet
Rewe;4;Ich finde die Produkte übelst teuer für Menschen die wenig Geld zur Verfügung haben.
Netto (Rot);5;Passt
Kaufland;5;Normalerwesie gibt es dort alles, was ich will
Aldi Süd;5;alles super
Edeka;5;qualität
Kaufland;5;gutes Angot, faire Preise große Auswahl
Rewe;3;andere supermärkte wie hit haben ein besseres sortiment
Aldi Süd;5;guter Marktleiter, freundliche Mitarbeiter
Netto (Rot);4;.
Rewe;4;Ist so
Lidl;5;kann ich nicht sagen
Lidl;5;Breites Angebot, das Geschäft ist stets sauber, die waren übersichtlich angeordnet, vor allem steht ein freundliches und kompetentes Personal.
Rewe;4;weil ich zufrieden bin ganz einfach
Lidl;4;ist eben so
Norma;4;bekomme alles , was ich für die Woche benötige
Kaufland;4;Alles zu akzeptablen Preisen unter einem Dach. Mit Frischetheken für Wurst und Fleisch
Lidl;5;alles bestens
Kaufland;5;Es ist ein sehr großer Laden, sehr sauber, nettes und hilfsbereites Personal, großes Warenangebot und sehr gute Preise!
Edeka;4;Es sind freundliche Leute, und Professional
Lidl;3;schwer zu erreichen
Real;4;keine Begründung nötig
Netto (Rot);4;Große Auswahl  Freundliche und hilfsbereite Mitarbeiter  Alles frisch Gute wechselnde Angebote
Edeka;5;Ist in meiner Nähe, bekomme alles was ich brauche, gute Qualität
Real;4;fast alles was ich brauche zu normalen Preisen
Lidl;5;gut
Kaufland;5;Freundlich, große Auswahl, günstig
Netto (Rot);5;immer freundliches Personal,gute Übersicht im Markt und immer wieder tolle Sonderangebote,die auch meist noch erhältlich sind
Edeka;4;es ist eigentlich alles soweit ok, nur die Tiefgarage ist eher schmuddelig
Lidl;5;mir gefällt die modernisierungsmassname optisch sehr gut.man findet sich leicht zurecht.übersichtlich.grosse auswahl zu relativ günstigen preisen.parkplatzangebot.kurze wartezeiten
Rewe;5;Hohe Qualität, regionale Produkte, große Auswahl
Kaufland;4;gutes Preis-leistungsverhältnis, große Auswahl
Edeka;5;Nah, gutes sortiment
Real;3;mit öffnungszeiten nicht regal aufgefüllt und das reinigungspersonal nimmt keine rücksicht auf die kunden
Globus;3;aus Erfahrung
Aldi Süd;5;Übersichtlich, sauber, nette Atmosphäre
Penny;5;Alles super dort
Netto (Rot);4;bekannt und bewährt
Edeka;5;vollkommene Angebote und freundliche Verkäuferinnen und Verkäufer
Lidl;4;Hat meistens das, was ich brauche
Kaufland;4;übersichtlich und sauber
Kaufland;4;Die Anordnung Gewürze und Fix Produkte zu Fleisch und Wurstwaren ist doof. Ich gehe normal erst zu Frischfleisch schaue was im Angebot ist und muss dann wieder zum Eingang um entsprechende Gewürze und fix Produkte zu holen
Rewe;4;liegt in der Nähe
Lidl;5;alles sauber, günstig und auch sonst problemlos
Edeka;4;a
Netto (Rot);5;Freundliches Personal, Obst und Gemüseabteilung immer aufgeräumt. Persönliche Bestellungen werden gerne angenommen.
Edeka;5;nichts
